complex_name,protein_path,ligand_description,protein_sequence
id295246924,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246925,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246926,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246927,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246928,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCc2ccc(C)cc2N2CCCC2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246929,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],
id295246930,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],
id295246931,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(Nc2sc(Cl)cc2C(=O)OC)nc(Nc2ncnn3cccc23)n1)C(=O)N[Dy],
id295246932,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246933,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246934,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(Nc2ccc(C=C)cc2)n1)C(=O)N[Dy],
id295246935,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246936,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246937,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(Nc2ncnc3c2ncn3CC(C)O)n1)C(=O)N[Dy],
id295246938,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],
id295246939,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],
id295246940,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCC2(O)CCCC2(C)C)n1)C(=O)N[Dy],
id295246941,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246942,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246943,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(Nc2sc(Cl)cc2C(=O)OC)n1)C(=O)N[Dy],
id295246944,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCCC2(COC)CC2)n1)C(=O)N[Dy],
id295246945,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCCC2(COC)CC2)n1)C(=O)N[Dy],
id295246946,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCCC2(COC)CC2)n1)C(=O)N[Dy],
id295246947,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCC2CCC(SC)CC2)n1)C(=O)N[Dy],
id295246948,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCC2CCC(SC)CC2)n1)C(=O)N[Dy],
id295246949,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCC2CCC(SC)CC2)n1)C(=O)N[Dy],
id295246950,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCc2ccc(C)cc2N2CCCC2)n1)C(=O)N[Dy],
id295246951,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCc2ccc(C)cc2N2CCCC2)n1)C(=O)N[Dy],
id295246952,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCc2ccc(C)cc2N2CCCC2)n1)C(=O)N[Dy],
id295246953,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCc2ccc(OCC(=O)Nc3cccc(C)c3)cc2)nc(NCCC2(COC)CC2)n1)C(=O)N[Dy],
id295246954,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCc2ccc(OCC(=O)Nc3cccc(C)c3)cc2)nc(NCCC2(COC)CC2)n1)C(=O)N[Dy],
id295246955,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCc2ccc(OCC(=O)Nc3cccc(C)c3)cc2)nc(NCCC2(COC)CC2)n1)C(=O)N[Dy],
id295246956,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCCNC(=O)c2occc2C)nc(NCCC2(COC)CC2)n1)C(=O)N[Dy],
id295246957,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCCNC(=O)c2occc2C)nc(NCCC2(COC)CC2)n1)C(=O)N[Dy],
id295246958,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCCNC(=O)c2occc2C)nc(NCCC2(COC)CC2)n1)C(=O)N[Dy],
id295246959,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCc2nnc(N3CCCC3)o2)n1)C(=O)N[Dy],
id295246960,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCc2nnc(N3CCCC3)o2)n1)C(=O)N[Dy],
id295246961,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCc2nnc(N3CCCC3)o2)n1)C(=O)N[Dy],
id295246962,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCc2csc3ccccc23)nc(NCCC2(COC)CC2)n1)C(=O)N[Dy],
id295246963,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCc2csc3ccccc23)nc(NCCC2(COC)CC2)n1)C(=O)N[Dy],
id295246964,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCc2csc3ccccc23)nc(NCCC2(COC)CC2)n1)C(=O)N[Dy],
id295246965,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NC[C@H]2CC[C@H](c3ccccc3)O2)n1)C(=O)N[Dy],
id295246966,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NC[C@H]2CC[C@H](c3ccccc3)O2)n1)C(=O)N[Dy],
id295246967,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NC[C@H]2CC[C@H](c3ccccc3)O2)n1)C(=O)N[Dy],
id295246968,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCc2cc(Br)ccc2OC(F)F)n1)C(=O)N[Dy],
id295246969,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCc2cc(Br)ccc2OC(F)F)n1)C(=O)N[Dy],
id295246970,/home/appuser/DiffDock/sEH.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCc2cc(Br)ccc2OC(F)F)n1)C(=O)N[Dy],
id295246971,/home/appuser/DiffDock/BRD4.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCc2cc(Cl)sc2Cl)n1)C(=O)N[Dy],
id295246972,/home/appuser/DiffDock/HSA.pdb,C#CCCC[C@H](Nc1nc(NCCC2(COC)CC2)nc(NCc2cc(Cl)sc2Cl)n1)C(=O)N[Dy],
